,Unnamed: 0,place_name,frequency,Lat,Long
0,3,Hawaii,44,19.593801499999998,-155.42837009716908
1,6,America,38,39.7837304,-100.445882
2,21,California,23,36.7014631,-118.755997
3,32,Santa,20,23.356377,116.6775918
4,9,U.S.A.,11,22.312927,114.0429595
5,63,Heroes,11,20.7182973,-101.9462868
6,84,thou,9,47.5790082,2.9076132
7,64,Plymouth Rock,7,41.9580867,-70.6621119
8,29,Jamaica,6,18.1850507,-77.3947693
9,23,New York City,6,40.7127281,-74.0060152
10,27,Honolulu,5,21.304547,-157.855676
11,125,Bahama,5,24.7736546,-78.0000547
12,126,Key Largo,5,25.091338,-80.46777414781022
13,61,Caroline,4,38.0320305,-77.362363
14,124,Aruba,4,12.51756625,-69.98186415210564
15,37,Denny,4,56.0237411,-3.9081978
16,7,U.S.A,4,22.312927,114.0429595
17,33,Santa Claus,4,32.1715776,-82.3315138
18,42,La,3,34.0536909,-118.242766
19,57,Dit,3,11.2442048,120.9326016
20,51,Salt Lake City,3,40.7596198,-111.8867975
21,39,Paris,3,48.8588897,2.3200410217200766
22,34,Santa's,3,40.9711879,-5.6654147
23,98,Cincinnati,3,39.1014537,-84.5124602
24,77,Louisiana,3,30.8703881,-92.007126
25,121,Santa Ana,3,33.7494951,-117.8732213
26,78,Texarkana,3,33.44667445,-94.07714830522015
27,44,L.A.,3,13.206211249999999,120.61296587037387
28,41,Rome,2,41.8933203,12.4829321
29,40,Europe,2,51.0,10.0
30,0,Malibu,2,34.035591,-118.689423
31,116,Sumahama,2,,
32,114,Japan,2,36.5748441,139.2394179
33,105,Kona,2,37.872734,32.4924376
34,66,Mahala,2,42.3542048,19.2180189
35,96,Night,2,50.0926218,14.401311
36,89,Monterey,2,36.2231079,-121.387742
37,50,Salt Lake,2,40.6632297,-111.9103124
38,43,L.A,2,13.206211249999999,120.61296587037387
39,35,Santa (Not Santa,2,,
40,24,Detroit,2,42.3315509,-83.0466403
41,20,South Bay,2,26.6639559,-80.7161701
42,19,Oooo,2,45.3197733,7.8998098346601076
43,18,Revving,2,4.8831332,114.8574513
44,119,Truth,1,35.7648205,139.8479074
45,95,Tokyo,1,35.6828387,139.7594549
46,103,Mars,1,45.022172,4.3221548
47,102,Goooooood,1,,
48,101,Vegas,1,18.1034915,-66.8738527
49,100,Mona,1,53.2782273,-4.33133929345189
50,99,Ohio,1,40.2253569,-82.6881395
51,133,Texas,1,31.2638905,-98.5456116
